Memory Storage,Baseline,Test Spreadsheet,Run,Total time of getting dependents (ms)
DB,TACO,enron_max1.xls,RUN1,173
DB,TACO,enron_max1.xls,RUN2,173
DB,TACO,enron_max1.xls,RUN3,197
DB,NoComp,enron_max1.xls,RUN1,17704
DB,NoComp,enron_max1.xls,RUN2,17704
DB,NoComp,enron_max1.xls,RUN3,16507
,Antifreeze,enron_max1.xls,,100000000
DB,TACO,enron_max2.xls,RUN1,2530
DB,TACO,enron_max2.xls,RUN2,2781
DB,TACO,enron_max2.xls,RUN3,2954
DB,NoComp,enron_max2.xls,RUN1,4967
DB,NoComp,enron_max2.xls,RUN2,4476
DB,NoComp,enron_max2.xls,RUN3,4856
,Antifreeze,enron_max2.xls,,100000000
DB,TACO,enron_max3.xls,RUN1,2418
DB,TACO,enron_max3.xls,RUN2,2605
DB,TACO,enron_max3.xls,RUN3,2789
DB,NoComp,enron_max3.xls,RUN1,5309
DB,NoComp,enron_max3.xls,RUN2,4473
DB,NoComp,enron_max3.xls,RUN3,4427
,Antifreeze,enron_max3.xls,,100000000
DB,TACO,enron_max4.xls,RUN1,2052
DB,TACO,enron_max4.xls,RUN2,2205
DB,TACO,enron_max4.xls,RUN3,2408
DB,NoComp,enron_max4.xls,RUN1,16043
DB,NoComp,enron_max4.xls,RUN2,14898
DB,NoComp,enron_max4.xls,RUN3,16420
,Antifreeze,enron_max4.xls,,100000000
DB,TACO,enron_max5.xls,RUN1,895
DB,TACO,enron_max5.xls,RUN2,833
DB,TACO,enron_max5.xls,RUN3,869
DB,NoComp,enron_max5.xls,RUN1,3024
DB,NoComp,enron_max5.xls,RUN2,4117
DB,NoComp,enron_max5.xls,RUN3,4308
DB,TACO,enron_long1.xls,RUN1,4
DB,TACO,enron_long1.xls,RUN2,4
DB,TACO,enron_long1.xls,RUN3,4
DB,NoComp,enron_long1.xls,RUN1,4078
DB,NoComp,enron_long1.xls,RUN2,4245
DB,NoComp,enron_long1.xls,RUN3,3476
,Antifreeze,enron_long1.xls,,100000000
DB,TACO,enron_long2.xls,RUN1,3
DB,TACO,enron_long2.xls,RUN2,2
DB,TACO,enron_long2.xls,RUN3,2
DB,NoComp,enron_long2.xls,RUN1,1343
DB,NoComp,enron_long2.xls,RUN2,850
DB,NoComp,enron_long2.xls,RUN3,1234
DB,Antifreeze,enron_long2.xls,RUN1,1
DB,Antifreeze,enron_long2.xls,RUN2,1
DB,Antifreeze,enron_long2.xls,RUN3,1
DB,TACO,enron_long3.xls,RUN1,3
DB,TACO,enron_long3.xls,RUN2,3
DB,TACO,enron_long3.xls,RUN3,4
DB,NoComp,enron_long3.xls,RUN1,835
DB,NoComp,enron_long3.xls,RUN2,352
DB,NoComp,enron_long3.xls,RUN3,815
DB,Antifreeze,enron_long3.xls,RUN1,1
DB,Antifreeze,enron_long3.xls,RUN2,1
DB,Antifreeze,enron_long3.xls,RUN3,1
,Antifreeze,github_long3.xlsx,,100000000
DB,TACO,github_max1.xlsx,RUN1,6694
DB,TACO,github_max1.xlsx,RUN2,6637
DB,TACO,github_max1.xlsx,RUN3,6266
,NoComp,github_max1.xlsx,,100000000
,Antifreeze,github_max1.xlsx,,100000000
DB,TACO,github_max2.xlsx,RUN1,4
DB,TACO,github_max2.xlsx,RUN2,4
DB,TACO,github_max2.xlsx,RUN3,5
DB,NoComp,github_max2.xlsx,RUN1,15042
DB,NoComp,github_max2.xlsx,RUN2,9862
DB,NoComp,github_max2.xlsx,RUN3,13057
,Antifreeze,github_max2.xlsx,,100000000
DB,TACO,github_max3.xlsx,RUN1,37
DB,TACO,github_max3.xlsx,RUN2,36
DB,TACO,github_max3.xlsx,RUN3,39
DB,NoComp,github_max3.xlsx,RUN1,53849
DB,NoComp,github_max3.xlsx,RUN2,55109
DB,NoComp,github_max3.xlsx,RUN3,56074
,Antifreeze,github_max3.xlsx,,100000000
DB,TACO,github_max4.xlsx,RUN1,4
DB,TACO,github_max4.xlsx,RUN2,5
DB,TACO,github_max4.xlsx,RUN3,4
DB,NoComp,github_max4.xlsx,RUN1,100320
DB,NoComp,github_max4.xlsx,RUN2,99304
DB,NoComp,github_max4.xlsx,RUN3,97809
,Antifreeze,github_max4.xlsx,,100000000
DB,TACO,github_max5.xlsx,RUN1,4
DB,TACO,github_max5.xlsx,RUN2,5
DB,TACO,github_max5.xlsx,RUN3,4
DB,NoComp,github_max5.xlsx,RUN1,113355
DB,NoComp,github_max5.xlsx,RUN2,114678
DB,NoComp,github_max5.xlsx,RUN3,114042
,Antifreeze,github_max5.xlsx,,100000000
,Antifreeze,enron_max5.xls,,100000000
DB,TACO,github_long1.xlsx,RUN1,2
DB,TACO,github_long1.xlsx,RUN2,2
DB,TACO,github_long1.xlsx,RUN3,2
,NoComp,github_long1.xlsx,,100000000
,Antifreeze,github_long1.xlsx,,100000000
DB,TACO,github_long2.xlsx,RUN1,1
DB,TACO,github_long2.xlsx,RUN2,2
DB,TACO,github_long2.xlsx,RUN3,2
DB,NoComp,github_long2.xlsx,RUN1,376919
DB,NoComp,github_long2.xlsx,RUN2,394020
DB,NoComp,github_long2.xlsx,RUN3,383585
,Antifreeze,github_long2.xlsx,,100000000
DB,TACO,github_long3.xlsx,RUN1,1
DB,TACO,github_long3.xlsx,RUN2,2
DB,TACO,github_long3.xlsx,RUN3,1
DB,NoComp,github_long3.xlsx,RUN1,394766
DB,NoComp,github_long3.xlsx,RUN2,386273
DB,NoComp,github_long3.xlsx,RUN3,378050
